TGF_ID,UTC_Date,UTC_Time,fermi_lat,fermi_lon
TGF110215690a, 2011-02-15, 16:32:55.03864,-13.7878,19.9565
TGF110216045, 2011-02-16, 01:04:47.61193,-6.9474,23.8696
TGF110217556, 2011-02-17, 13:20:11.64940,-25.6594,109.8367
TGF110218205, 2011-02-18, 04:54:35.46567,-4.6414,154.108
TGF110219269, 2011-02-19, 06:27:44.32842,-13.4005,142.5397
TGF110219407, 2011-02-19, 09:45:30.53460,-21.602,117.7079
TGF110222610, 2011-02-22, 14:37:48.97243,-3.7961,136.632
TGF110225380a, 2011-02-25, 09:06:31.86616,-25.7173,118.9893
TGF110227440, 2011-02-27, 10:33:42.78745,-21.6289,113.0146
TGF110228636, 2011-02-28, 15:15:29.44019,-17.9466,46.4497
TGF110302625, 2011-03-02, 15:00:15.03262,-16.915,38.01
TGF110304547, 2011-03-04, 13:07:56.83774,-17.8587,48.4392
TGF110311230, 2011-03-11, 05:31:16.70919,-23.3153,36.2016
TGF110314565, 2011-03-14, 13:33:00.28668,-2.9294,0.6131
TGF110315069, 2011-03-15, 01:39:57.71141,-14.2926,32.9871
TGF110316419, 2011-03-16, 10:03:08.95461,-7.4307,29.1326
TGF110317788, 2011-03-17, 18:54:28.91287,-15.0112,115.2823
TGF110317983, 2011-03-17, 23:36:10.57767,-8.0884,26.6633
TGF110323880, 2011-03-23, 21:07:36.86612,-0.5418,2.1365
TGF110325736, 2011-03-25, 17:39:55.36573,0.4479,37.6294
TGF110326802, 2011-03-26, 19:15:22.31835,-12.2482,33.3196
TGF110406608, 2011-04-06, 14:36:13.77355,-13.4271,22.3134
TGF110419334b, 2011-04-19, 08:01:00.65990,-8.337,10.5997
TGF110420449, 2011-04-20, 10:47:01.58997,17.4904,262.0093
TGF110420450, 2011-04-20, 10:47:22.29916,17.0587,263.2049
TGF110426355, 2011-04-26, 08:31:43.95816,4.2994,282.0743
TGF110429311, 2011-04-29, 07:27:24.22774,8.301,121.9027
TGF110505740, 2011-05-05, 17:45:59.04593,7.0759,274.9458
TGF110506165, 2011-05-06, 03:57:31.23625,7.2226,268.6181
TGF110507128, 2011-05-07, 03:04:50.65267,-2.2201,104.9744
TGF110510077, 2011-05-10, 01:50:27.02446,5.6193,273.6026
TGF110511468, 2011-05-11, 11:14:00.00383,7.2655,118.3887
TGF110513778, 2011-05-13, 18:40:15.70657,24.4103,293.6029
TGF110515621, 2011-05-15, 14:54:49.36507,15.8453,262.5976
TGF110515948, 2011-05-15, 22:45:25.67883,5.9984,118.8508
TGF110516546, 2011-05-16, 13:06:53.11519,9.6994,267.0589
TGF110519195, 2011-05-19, 04:41:17.68395,3.7517,359.949
TGF110520122, 2011-05-20, 02:55:16.20349,-0.1362,11.1464
TGF110521384, 2011-05-21, 09:13:06.56630,6.6702,281.2931
TGF110522841, 2011-05-22, 20:11:25.45978,3.9635,99.6242
TGF110526222, 2011-05-26, 05:19:38.80025,4.0261,296.503
TGF110526357, 2011-05-26, 08:34:45.40163,10.6318,261.2599
TGF110601192, 2011-06-01, 04:36:54.20148,13.7699,283.1707
TGF110604857, 2011-06-04, 20:33:41.55148,17.9658,122.5962
TGF110605566, 2011-06-05, 13:35:33.72157,11.8624,109.8796
TGF110608943, 2011-06-08, 22:38:17.85061,3.4195,289.3372
TGF110608944, 2011-06-08, 22:39:04.68145,4.6831,291.8025
TGF110611289, 2011-06-11, 06:55:45.77585,14.0453,288.4736
TGF110611754, 2011-06-11, 18:05:43.22045,11.4715,123.7614
TGF110619177, 2011-06-19, 04:15:35.01859,12.9119,270.5254
TGF110621423, 2011-06-21, 10:08:39.06625,25.106,117.2228
TGF110622094, 2011-06-22, 02:15:11.56083,13.3846,276.9311
TGF110622948, 2011-06-22, 22:45:20.99947,24.5008,281.5651
TGF110623088, 2011-06-23, 02:06:40.99005,13.8112,270.3004
TGF110626928, 2011-06-26, 22:16:24.80830,21.5793,273.747
TGF110629918, 2011-06-29, 22:02:08.04062,8.0457,292.248
TGF110705536, 2011-07-05, 12:51:43.11945,24.1944,292.5705
TGF110705673, 2011-07-05, 16:08:59.15548,25.5764,268.7094
TGF110706387b, 2011-07-06, 09:17:12.28197,5.5019,282.0672
TGF110706813, 2011-07-06, 19:30:05.77306,6.5626,280.1456
TGF110709302, 2011-07-09, 07:15:22.77495,2.7295,284.0901
TGF110709372, 2011-07-09, 08:55:47.42637,10.5558,275.5743
TGF110710366, 2011-07-10, 08:46:39.21921,9.1634,266.9621
TGF110719400, 2011-07-19, 09:36:28.54030,19.7265,296.5492
TGF110719466, 2011-07-19, 11:10:36.98128,21.0761,267.4379
TGF110720322, 2011-07-20, 07:44:02.00616,25.5076,282.243
TGF110722171, 2011-07-22, 04:06:41.73436,21.6197,281.4528
TGF110723163, 2011-07-23, 03:54:54.93933,17.8245,263.1222
TGF110723310, 2011-07-23, 07:26:23.49253,21.4511,292.2411
TGF110724376, 2011-07-24, 09:00:46.67815,12.7389,287.201
TGF110730987, 2011-07-30, 23:41:19.71962,21.3227,278.1027
TGF110801123, 2011-08-01, 02:57:17.41187,24.5157,275.0374
TGF110801976, 2011-08-01, 23:25:19.55331,21.7566,268.4916
TGF110803825a, 2011-08-03, 19:47:52.85510,8.717,271.216
TGF110803825b, 2011-08-03, 19:48:37.43345,9.866,273.6274
TGF110812042, 2011-08-12, 01:01:04.23105,4.3731,120.061
TGF110815559, 2011-08-15, 13:24:26.34275,11.4291,282.7276
TGF110816556, 2011-08-16, 13:21:19.76312,18.3707,294.5231
TGF110817900, 2011-08-17, 21:36:25.69280,14.4948,264.4902
TGF110818631, 2011-08-18, 15:09:05.86535,10.5434,5.3775
TGF110819469c, 2011-08-19, 11:15:53.03645,11.2874,284.3561
TGF110819753, 2011-08-19, 18:04:38.33674,19.9487,286.707
TGF110819825, 2011-08-19, 19:48:18.15155,8.8557,290.2054
TGF110826504, 2011-08-26, 12:05:26.55565,24.3042,262.9543
TGF110830487, 2011-08-30, 11:41:46.13020,24.4651,276.9938
TGF110902584, 2011-09-02, 14:00:45.00815,1.9322,113.5277
TGF110904928, 2011-09-04, 22:17:01.85900,16.506,109.1427
TGF110905069, 2011-09-05, 01:39:31.22175,-1.1797,98.0081
TGF110905457, 2011-09-05, 10:58:47.49980,18.7381,267.7491
TGF110908948, 2011-09-08, 22:45:24.34855,4.5127,298.4773
TGF110909764, 2011-09-09, 18:19:48.46441,21.9753,111.8837
TGF110911362, 2011-09-11, 08:41:59.09721,7.12,286.0734
TGF110911363, 2011-09-11, 08:43:12.41658,5.1692,289.9806
TGF110912398, 2011-09-12, 09:32:54.26175,11.082,124.4763
TGF110916191, 2011-09-16, 04:34:24.84775,24.668,252.8154
TGF110918191, 2011-09-18, 04:34:22.60732,5.1497,299.3782
TGF110918367, 2011-09-18, 08:48:11.20020,17.97,107.7639
TGF110918368, 2011-09-18, 08:50:00.06492,20.0312,114.1872
TGF110920172, 2011-09-20, 04:08:02.44971,19.0415,255.6164
TGF110922810, 2011-09-22, 19:26:38.62765,21.7896,287.458
TGF110923091, 2011-09-23, 02:10:20.31618,15.7713,272.4026
TGF110924662, 2011-09-24, 15:53:02.05294,14.7229,303.5041
TGF110924869, 2011-09-24, 20:51:20.34487,25.3905,274.1994
TGF110925081, 2011-09-25, 01:56:28.20758,11.9163,270.418
TGF110928001, 2011-09-28, 00:01:59.30265,2.6446,296.9444
TGF110929773, 2011-09-29, 18:33:45.63570,25.2419,268.4435
TGF111001377, 2011-10-01, 09:03:29.40460,12.3253,114.0911
TGF111001552, 2011-10-01, 13:14:42.24291,7.7309,273.1782
TGF111008912, 2011-10-08, 21:53:54.81933,14.8927,103.6699
TGF111014350, 2011-10-14, 08:23:48.17585,19.3256,277.4485
TGF111019935, 2011-10-19, 22:26:20.20328,14.1578,125.2922
TGF111023488b, 2011-10-23, 11:43:26.31428,3.2801,116.9812
TGF111023490, 2011-10-23, 11:45:21.67116,6.3707,123.0768
TGF111024439, 2011-10-24, 10:31:43.28375,19.7773,252.2277
TGF111025301, 2011-10-25, 07:13:13.44972,18.8819,298.2247
TGF111025406, 2011-10-25, 09:44:33.67358,-7.4319,109.2319
TGF111025833, 2011-10-25, 20:00:00.85370,14.7464,114.5813
TGF111027331, 2011-10-27, 07:56:25.58282,-0.7435,135.5585
TGF111027931, 2011-10-27, 22:21:18.48669,8.8181,295.0868
TGF111030915, 2011-10-30, 21:58:13.26283,12.1447,285.5115
TGF111030917, 2011-10-30, 22:00:28.57863,15.3159,293.0896
TGF111101837, 2011-11-01, 20:04:34.50921,10.1556,294.3044
TGF111104645, 2011-11-04, 15:28:35.21147,9.0037,120.3548
TGF111113892, 2011-11-13, 21:24:26.93503,-4.7623,149.0896
TGF111116383, 2011-11-16, 09:10:59.66083,-8.0404,160.1976
TGF111117705, 2011-11-17, 16:54:42.70830,-0.0566,17.1221
TGF111119856, 2011-11-19, 20:32:04.31742,-6.696,111.9655
TGF111121424, 2011-11-21, 10:11:11.09255,-18.4246,132.8073
TGF111122706, 2011-11-22, 16:57:14.78235,-4.026,149.3516
TGF111124269, 2011-11-24, 06:26:41.85915,-7.0358,138.1226
TGF111126681, 2011-11-26, 16:20:36.10790,-7.9423,119.4157
TGF111126682, 2011-11-26, 16:21:29.86690,-6.521,122.2873
TGF111128604, 2011-11-28, 14:29:44.45720,-5.2563,138.0935
TGF111204431, 2011-12-04, 10:20:29.68590,-15.6684,130.8186
TGF111227802, 2011-12-27, 19:15:07.59612,-12.1676,58.3682
TGF111227937, 2011-12-27, 22:29:02.64567,-16.4116,19.9978
TGF111228154, 2011-12-28, 03:42:08.13710,-15.443,47.0804
TGF120106673, 2012-01-06, 16:09:23.47689,-7.1372,16.7305
TGF120109659, 2012-01-09, 15:48:46.65106,-15.3005,18.2972
TGF120110674, 2012-01-10, 16:10:08.29980,-12.3698,123.4933
TGF120110812, 2012-01-10, 19:29:24.05488,0.9725,101.6754
TGF120111585, 2012-01-11, 14:02:45.09425,-22.7914,55.9231
TGF120112307, 2012-01-12, 07:22:27.08068,-10.8874,113.3358
TGF120114919, 2012-01-14, 22:02:39.77908,-3.4761,22.384
TGF120115704, 2012-01-15, 16:54:09.79358,-21.8544,44.4982
TGF120119487, 2012-01-19, 11:41:01.26719,-12.0645,123.4763
TGF120120412, 2012-01-20, 09:53:07.14420,-17.2042,129.6943
TGF120122330, 2012-01-22, 07:55:29.73870,-22.2894,126.0558
TGF120123394, 2012-01-23, 09:26:46.83210,-17.3795,112.7119
TGF120128804, 2012-01-28, 19:18:27.91460,-5.9274,155.8348
TGF120129132, 2012-01-29, 03:10:04.21812,2.9881,16.7398
TGF120217417, 2012-02-17, 10:00:47.94257,-5.2398,141.8491
TGF120222393, 2012-02-22, 09:26:01.40285,-18.4476,144.9109
TGF120222745, 2012-02-22, 17:52:05.04152,-10.0267,130.1213
TGF120223314, 2012-02-23, 07:31:46.49321,-3.8662,130.4587
TGF120228152, 2012-02-28, 03:38:43.10392,-6.7522,157.4086
TGF120303460, 2012-03-03, 11:02:26.39173,-9.7815,19.8672
TGF120307321, 2012-03-07, 07:41:47.19955,-22.3609,140.7891
TGF120308186b, 2012-03-08, 04:27:37.63992,-16.3487,203.6832
TGF120308958, 2012-03-08, 22:59:24.95511,-6.4316,150.6974
TGF120309449, 2012-03-09, 10:46:36.55885,-7.3352,121.1422
TGF120310571, 2012-03-10, 13:42:50.03708,-15.8241,47.9366
TGF120313924, 2012-03-13, 22:09:51.60650,2.2629,106.5395
TGF120318102, 2012-03-18, 02:26:22.23860,-6.9878,29.5374
TGF120402952, 2012-04-02, 22:51:33.15857,-25.1059,48.4227
TGF120412343, 2012-04-12, 08:14:23.14610,-2.646,97.7897
TGF120418869, 2012-04-18, 20:51:06.67331,0.7546,34.0728
TGF120421122, 2012-04-21, 02:55:35.26070,1.7463,287.5761
